mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,varieties
219.2167402,214.4441339,210.8475498,24.36555573,23.08380632,27.23901208,49.87894132,10.87629462,219.4640101,65.84771262,7.401705336,23.86390866,0
217.4287914,213.926985,209.9759371,24.87911939,22.63349855,26.92548753,46.96785409,10.19784997,218.0344198,62.65661854,7.281899859,23.57267089,0
204.8151822,218.9738281,220.3019044,28.14581327,23.79390921,26.20467413,91.93540289,19.5254756,221.0909639,9.034851074,8.866864606,25.09491708,0
211.5400049,211.2016803,207.2279269,27.45627238,24.59853848,30.10566907,69.91383912,8.829678311,213.4026259,63.19573233,10.60991444,24.89561503,0
218.1124822,214.4305529,210.7981826,25.71165533,23.12031307,26.95216752,58.56517487,10.48508971,219.0064984,67.39568658,9.627238297,23.8649823,0
94.98714976,167.431728,111.3890203,8.101199565,5.237420381,7.938773189,66.76341825,110.5191645,167.431728,0.750806115,9.238875009,5.237420381,0
222.3410464,217.6471413,213.9849598,23.33757966,21.51770546,25.51721158,45.67547357,10.65829078,222.7078179,63.75849646,7.762343039,22.53091193,0
217.5153623,215.0597607,211.516434,25.09434097,22.30334153,25.47970365,50.51262315,8.902248591,218.5189942,59.22787738,7.304613884,23.56297887,0
189.3572269,208.8479728,203.6816668,29.87889431,23.69960762,29.19563955,82.6826192,25.69010742,209.2698009,10.91365501,12.0757703,24.16120382,0
208.0576501,215.6204307,215.4744042,26.83531328,22.80327439,25.86374295,80.39043425,12.80417356,217.4946529,30.88957168,8.017595419,23.7952904,0
215.4721079,211.813676,206.1861081,29.59899945,25.90510489,31.96712124,49.10591563,13.62157081,216.793688,62.35370352,10.04010205,27.26337949,0
196.9530707,214.7825171,217.9720457,33.17087745,26.41104414,29.31505958,95.12079206,26.44427568,218.5318286,5.199816795,11.88772603,28.29400706,0
209.0986814,216.3978054,218.4811883,30.99763333,25.28795109,27.44782919,97.74384404,12.37582779,218.9658171,19.33235063,8.848569263,26.64128791,0
